CN1015464B  |||  S: 1 E: 11  |||  NN
KPa  |||  S: 5037 E: 5040  |||  M
（  |||  S: 5040 E: 5041  |||  PU
10  |||  S: 5041 E: 5043  |||  CD
psi  |||  S: 5043 E: 5046  |||  M
）  |||  S: 5046 E: 5047  |||  PU
压力  |||  S: 5047 E: 5049  |||  NN
作用  |||  S: 5049 E: 5051  |||  NN
下  |||  S: 5051 E: 5052  |||  LC
它  |||  S: 5052 E: 5053  |||  PN
充分  |||  S: 5053 E: 5055  |||  AD
自  |||  S: 5055 E: 5056  |||  VV
可  |||  S: 5056 E: 5057  |||  VV
塑  |||  S: 5057 E: 5058  |||  AS
地  |||  S: 5058 E: 5059  |||  DEC
聚集成基  |||  S: 5059 E: 5063  |||  NN
本  |||  S: 5063 E: 5064  |||  DT
上  |||  S: 5064 E: 5065  |||  NN
无  |||  S: 5065 E: 5066  |||  VE
空隙  |||  S: 5066 E: 5068  |||  NN
的  |||  S: 5068 E: 5069  |||  DEC
介质  |||  S: 5069 E: 5071  |||  NN
。  |||  S: 5071 E: 5072  |||  PU
通常  |||  S: 5072 E: 5074  |||  AD
，  |||  S: 5074 E: 5075  |||  PU
硅  |||  S: 5075 E: 5076  |||  NN
橡胶  |||  S: 5076 E: 5078  |||  NN
被  |||  S: 5078 E: 5079  |||  SB
用作  |||  S: 5079 E: 5081  |||  VV
聚合物  |||  S: 5081 E: 5084  |||  NN
加压  |||  S: 5084 E: 5086  |||  VV
介质  |||  S: 5086 E: 5088  |||  NN
。  |||  S: 5088 E: 5089  |||  PU
最好  |||  S: 5089 E: 5091  |||  AD
是  |||  S: 5091 E: 5092  |||  VC
对  |||  S: 5092 E: 5093  |||  VV
在  |||  S: 5093 E: 5094  |||  P
美国  |||  S: 5094 E: 5096  |||  NR
专利  |||  S: 5096 E: 5098  |||  NN
3  |||  S: 5098 E: 5099  |||  CD
，  |||  S: 5099 E: 5100  |||  PU
843  |||  S: 5100 E: 5103  |||  CD
，  |||  S: 5103 E: 5104  |||  PU
601  |||  S: 5104 E: 5107  |||  CD
（  |||  S: 5107 E: 5108  |||  PU
属  |||  S: 5108 E: 5109  |||  VV
Bruner  |||  S: 5109 E: 5115  |||  NN
）  |||  S: 5115 E: 5116  |||  PU
中  |||  S: 5116 E: 5117  |||  LC
所  |||  S: 5117 E: 5118  |||  MSP
描述  |||  S: 5118 E: 5120  |||  VV
的  |||  S: 5120 E: 5121  |||  DEC
橡胶  |||  S: 5121 E: 5123  |||  NN
类型  |||  S: 5123 E: 5125  |||  NN
的  |||  S: 5125 E: 5126  |||  DEG
一  |||  S: 5126 E: 5127  |||  CD
个  |||  S: 5127 E: 5128  |||  M
改进  |||  S: 5128 E: 5130  |||  NN
型  |||  S: 5130 E: 5131  |||  NN
。  |||  S: 5131 E: 5132  |||  PU
还  |||  S: 5132 E: 5133  |||  AD
可  |||  S: 5133 E: 5134  |||  VV
参见  |||  S: 5134 E: 5136  |||  VV
美国  |||  S: 5136 E: 5138  |||  NR
专利  |||  S: 5138 E: 5140  |||  NN
4  |||  S: 5140 E: 5141  |||  CD
，  |||  S: 5141 E: 5142  |||  PU
011  |||  S: 5142 E: 5145  |||  CD
，  |||  S: 5145 E: 5146  |||  PU
929  |||  S: 5146 E: 5149  |||  CD
（  |||  S: 5149 E: 5150  |||  PU
属  |||  S: 5150 E: 5151  |||  VV
Jeram  |||  S: 5151 E: 5156  |||  NN
等  |||  S: 5156 E: 5157  |||  ETC
人  |||  S: 5157 E: 5158  |||  NN
）  |||  S: 5158 E: 5159  |||  PU
。  |||  S: 5159 E: 5160  |||  PU
这  |||  S: 5160 E: 5161  |||  DT
两  |||  S: 5161 E: 5162  |||  CD
个  |||  S: 5162 E: 5163  |||  M
专利  |||  S: 5163 E: 5165  |||  NN
公开  |||  S: 5165 E: 5167  |||  VV
的  |||  S: 5167 E: 5168  |||  DEC
内容  |||  S: 5168 E: 5170  |||  NN
在  |||  S: 5170 E: 5171  |||  P
此  |||  S: 5171 E: 5172  |||  PN
列入  |||  S: 5172 E: 5174  |||  VV
作为  |||  S: 5174 E: 5176  |||  P
参考  |||  S: 5176 E: 5178  |||  VV
。  |||  S: 5178 E: 5179  |||  PU
通常  |||  S: 5179 E: 5181  |||  AD
较  |||  S: 5181 E: 5182  |||  AD
好  |||  S: 5182 E: 5183  |||  VA
的  |||  S: 5183 E: 5184  |||  DEC
材料  |||  S: 5184 E: 5186  |||  NN
是  |||  S: 5186 E: 5187  |||  VC
带有  |||  S: 5187 E: 5189  |||  VV
乙烯基  |||  S: 5189 E: 5192  |||  NN
的  |||  S: 5192 E: 5193  |||  DEC
二甲基硅氧烷  |||  S: 5193 E: 5199  |||  NN
聚合物  |||  S: 5199 E: 5202  |||  NN
。  |||  S: 5202 E: 5203  |||  PU
它们  |||  S: 5203 E: 5205  |||  PN
可  |||  S: 5205 E: 5206  |||  VV
由  |||  S: 5206 E: 5207  |||  P
通常  |||  S: 5207 E: 5209  |||  AD
工业化  |||  S: 5209 E: 5212  |||  NN
生产  |||  S: 5212 E: 5214  |||  NN
方法  |||  S: 5214 E: 5216  |||  NN
进行  |||  S: 5216 E: 5218  |||  VV
生产  |||  S: 5218 E: 5220  |||  NN
，  |||  S: 5220 E: 5221  |||  PU
包括  |||  S: 5221 E: 5223  |||  VV
从  |||  S: 5223 E: 5224  |||  P
聚硅氧烷  |||  S: 5224 E: 5228  |||  NN
出发  |||  S: 5228 E: 5230  |||  VV
利用  |||  S: 5230 E: 5232  |||  VV
不同  |||  S: 5232 E: 5234  |||  VA
的  |||  S: 5234 E: 5235  |||  DEC
硫化  |||  S: 5235 E: 5237  |||  NN
技术  |||  S: 5237 E: 5239  |||  NN
来  |||  S: 5239 E: 5240  |||  MSP
生产  |||  S: 5240 E: 5242  |||  VV
。  |||  S: 5242 E: 5243  |||  PU
至今  |||  S: 5243 E: 5245  |||  AD
一直  |||  S: 5245 E: 5247  |||  AD
应用  |||  S: 5247 E: 5249  |||  VV
的  |||  S: 5249 E: 5250  |||  DEC
较好  |||  S: 5250 E: 5252  |||  JJ
材料  |||  S: 5252 E: 5254  |||  NN
是  |||  S: 5254 E: 5255  |||  VC
一  |||  S: 5255 E: 5256  |||  CD
种  |||  S: 5256 E: 5257  |||  M
牌号  |||  S: 5257 E: 5259  |||  NN
为  |||  S: 5259 E: 5260  |||  VC
X5-8017  |||  S: 5260 E: 5267  |||  NN
的  |||  S: 5267 E: 5268  |||  DEG
实验  |||  S: 5268 E: 5270  |||  NN
型  |||  S: 5270 E: 5271  |||  NN
未  |||  S: 5271 E: 5272  |||  AD
充填  |||  S: 5272 E: 5274  |||  VV
硅  |||  S: 5274 E: 5275  |||  NN
橡胶  |||  S: 5275 E: 5277  |||  NN
材料  |||  S: 5277 E: 5279  |||  NN
，  |||  S: 5279 E: 5280  |||  PU
其  |||  S: 5280 E: 5281  |||  PN
原来  |||  S: 5281 E: 5283  |||  JJ
牌号  |||  S: 5283 E: 5285  |||  NN
636081  |||  S: 5285 E: 5291  |||  CD
（  |||  S: 5291 E: 5292  |||  PU
下文  |||  S: 5292 E: 5294  |||  NN
简称  |||  S: 5294 E: 5296  |||  VV
8017  |||  S: 5296 E: 5300  |||  CD
）  |||  S: 5300 E: 5301  |||  PU
，  |||  S: 5301 E: 5302  |||  PU
是  |||  S: 5302 E: 5303  |||  VC
由  |||  S: 5303 E: 5304  |||  P
道康宁  |||  S: 5304 E: 5307  |||  NR
公司  |||  S: 5307 E: 5309  |||  NN
（  |||  S: 5309 E: 5310  |||  PU
密执  |||  S: 5310 E: 5312  |||  JJ
安州  |||  S: 5312 E: 5314  |||  NN
，  |||  S: 5314 E: 5315  |||  PU
密特  |||  S: 5315 E: 5317  |||  NR
兰特  |||  S: 5317 E: 5319  |||  NN
）  |||  S: 5319 E: 5320  |||  PU
生产  |||  S: 5320 E: 5322  |||  VV
的  |||  S: 5322 E: 5323  |||  DEC
。  |||  S: 5323 E: 5324  |||  PU
另  |||  S: 5324 E: 5325  |||  DT
一  |||  S: 5325 E: 5326  |||  CD
种  |||  S: 5326 E: 5327  |||  M
道康  |||  S: 5327 E: 5329  |||  NN
宁  |||  S: 5329 E: 5330  |||  AD
硅  |||  S: 5330 E: 5331  |||  VV
橡胶  |||  S: 5331 E: 5333  |||  NN
牌号  |||  S: 5333 E: 5335  |||  NN
为  |||  S: 5335 E: 5336  |||  VC
93  |||  S: 5336 E: 5338  |||  CD
-  |||  S: 5338 E: 5339  |||  PU
104  |||  S: 5339 E: 5342  |||  CD
，  |||  S: 5342 E: 5343  |||  PU
不  |||  S: 5343 E: 5344  |||  AD
加  |||  S: 5344 E: 5345  |||  VV
有  |||  S: 5345 E: 5346  |||  VE
它  |||  S: 5346 E: 5347  |||  PN
原有  |||  S: 5347 E: 5349  |||  JJ
的  |||  S: 5349 E: 5350  |||  DEG
填料  |||  S: 5350 E: 5352  |||  NN
也  |||  S: 5352 E: 5353  |||  AD
是  |||  S: 5353 E: 5354  |||  VC
可  |||  S: 5354 E: 5355  |||  VV
用  |||  S: 5355 E: 5356  |||  VV
的  |||  S: 5356 E: 5357  |||  DEC
（  |||  S: 5357 E: 5358  |||  PU
尽管  |||  S: 5358 E: 5360  |||  CS
如此  |||  S: 5360 E: 5362  |||  VV
以下  |||  S: 5362 E: 5364  |||  JJ
也  |||  S: 5364 E: 5365  |||  CC
简称  |||  S: 5365 E: 5367  |||  JJ
93-104  |||  S: 5367 E: 5373  |||  NN
）  |||  S: 5373 E: 5374  |||  PU
。  |||  S: 5374 E: 5375  |||  PU
PolygelC  |||  S: 5375 E: 5383  |||  NN
-  |||  S: 5383 E: 5384  |||  PU
1200  |||  S: 5384 E: 5388  |||  CD
硅  |||  S: 5388 E: 5389  |||  NN
橡胶  |||  S: 5389 E: 5391  |||  NN
（  |||  S: 5391 E: 5392  |||  PU
斯  |||  S: 5392 E: 5393  |||  DT
托  |||  S: 5393 E: 5394  |||  NN
弗  |||  S: 5394 E: 5395  |||  VV
化学  |||  S: 5395 E: 5397  |||  NN
公司  |||  S: 5397 E: 5399  |||  NN
，  |||  S: 5399 E: 5400  |||  PU
康涅  |||  S: 5400 E: 5402  |||  NR
狄格  |||  S: 5402 E: 5404  |||  NN
州  |||  S: 5404 E: 5405  |||  NN
，  |||  S: 5405 E: 5406  |||  PU
韦  |||  S: 5406 E: 5407  |||  CS
斯  |||  S: 5407 E: 5408  |||  DT
特  |||  S: 5408 E: 5409  |||  AD
浦  |||  S: 5409 E: 5410  |||  NN
特  |||  S: 5410 E: 5411  |||  AD
）  |||  S: 5411 E: 5412  |||  PU
，  |||  S: 5412 E: 5413  |||  PU
在  |||  S: 5413 E: 5414  |||  P
美国  |||  S: 5414 E: 5416  |||  NR
专利  |||  S: 5416 E: 5418  |||  NN
3  |||  S: 5418 E: 5419  |||  CD
，  |||  S: 5419 E: 5420  |||  PU
843  |||  S: 5420 E: 5423  |||  CD
，  |||  S: 5423 E: 5424  |||  PU
601  |||  S: 5424 E: 5427  |||  CD
（  |||  S: 5427 E: 5428  |||  PU
属  |||  S: 5428 E: 5429  |||  VV
Bruner  |||  S: 5429 E: 5435  |||  NN
）  |||  S: 5435 E: 5436  |||  PU
中  |||  S: 5436 E: 5437  |||  LC
已  |||  S: 5437 E: 5438  |||  AD
描述  |||  S: 5438 E: 5440  |||  VV
是  |||  S: 5440 E: 5441  |||  VC
必需  |||  S: 5441 E: 5443  |||  VV
的  |||  S: 5443 E: 5444  |||  DEC
材料  |||  S: 5444 E: 5446  |||  NN
，  |||  S: 5446 E: 5447  |||  PU
据信  |||  S: 5447 E: 5449  |||  AD
对  |||  S: 5449 E: 5450  |||  P
本  |||  S: 5450 E: 5451  |||  DT
发明  |||  S: 5451 E: 5453  |||  NN
也  |||  S: 5453 E: 5454  |||  AD
是  |||  S: 5454 E: 5455  |||  VC
有用  |||  S: 5455 E: 5457  |||  VA
的  |||  S: 5457 E: 5458  |||  DEC
。  |||  S: 5458 E: 5459  |||  PU
其它  |||  S: 5459 E: 5461  |||  DT
较  |||  S: 5461 E: 5462  |||  AD
好  |||  S: 5462 E: 5463  |||  VA
的  |||  S: 5463 E: 5464  |||  DEC
材料  |||  S: 5464 E: 5466  |||  NN
是  |||  S: 5466 E: 5467  |||  VC
乙烯基  |||  S: 5467 E: 5470  |||  NN
甲基硅氧烷  |||  S: 5470 E: 5475  |||  NN
-  |||  S: 5475 E: 5476  |||  PU
二  |||  S: 5476 E: 5477  |||  CD
甲基硅氧烷  |||  S: 5477 E: 5482  |||  NN
（  |||  S: 5482 E: 5483  |||  PU
VMS  |||  S: 5483 E: 5486  |||  NN
-  |||  S: 5486 E: 5487  |||  PU
DMS  |||  S: 5487 E: 5490  |||  VV
）  |||  S: 5490 E: 5491  |||  PU
聚合物  |||  S: 5491 E: 5494  |||  NN
，  |||  S: 5494 E: 5495  |||  PU
例如  |||  S: 5495 E: 5497  |||  AD
在  |||  S: 5497 E: 5498  |||  P
共同  |||  S: 5498 E: 5500  |||  AD
转让  |||  S: 5500 E: 5502  |||  VV
共同  |||  S: 5502 E: 5504  |||  JJ
未决  |||  S: 5504 E: 5506  |||  NR
专利  |||  S: 5506 E: 5508  |||  NN
申请  |||  S: 5508 E: 5510  |||  NN
907946  |||  S: 5510 E: 5516  |||  CD
号  |||  S: 5516 E: 5517  |||  M
中  |||  S: 5517 E: 5518  |||  LC
所  |||  S: 5518 E: 5519  |||  MSP
描述  |||  S: 5519 E: 5521  |||  VV
的  |||  S: 5521 E: 5522  |||  DEC
道康  |||  S: 5522 E: 5524  |||  NN
宁  |||  S: 5524 E: 5525  |||  CC
公司  |||  S: 5525 E: 5527  |||  NN
的  |||  S: 5527 E: 5528  |||  DEC
牌号  |||  S: 5528 E: 5530  |||  NN
为  |||  S: 5530 E: 5531  |||  VC
X  |||  S: 5531 E: 5532  |||  NN
5  |||  S: 5532 E: 5533  |||  CD
-  |||  S: 5533 E: 5534  |||  PU
8026  |||  S: 5534 E: 5538  |||  CD
的  |||  S: 5538 E: 5539  |||  DEG
聚合物  |||  S: 5539 E: 5542  |||  NN
（  |||  S: 5542 E: 5543  |||  PU
该  |||  S: 5543 E: 5544  |||  DT
专利  |||  S: 5544 E: 5546  |||  NN
申请  |||  S: 5546 E: 5548  |||  NN
的  |||  S: 5548 E: 5549  |||  DEG
题目  |||  S: 5549 E: 5551  |||  NN
为  |||  S: 5551 E: 5552  |||  VC
“  |||  S: 5552 E: 5553  |||  PU
高温  |||  S: 5553 E: 5555  |||  NN
固体  |||  S: 5555 E: 5557  |||  NN
可  |||  S: 5557 E: 5558  |||  VV
流动  |||  S: 5558 E: 5560  |||  VV
的  |||  S: 5560 E: 5561  |||  DEC
聚合物  |||  S: 5561 E: 5564  |||  NN
介质  |||  S: 5564 E: 5566  |||  NN
和  |||  S: 5566 E: 5567  |||  CC
利用  |||  S: 5567 E: 5569  |||  VV
该  |||  S: 5569 E: 5570  |||  DT
介质  |||  S: 5570 E: 5572  |||  NN
的  |||  S: 5572 E: 5573  |||  DEC
模塑  |||  S: 5573 E: 5575  |||  NN
方法  |||  S: 5575 E: 5577  |||  NN
”  |||  S: 5577 E: 5578  |||  PU
）  |||  S: 5578 E: 5579  |||  PU
，  |||  S: 5579 E: 5580  |||  PU
因为  |||  S: 5580 E: 5582  |||  P
它  |||  S: 5582 E: 5583  |||  PN
可  |||  S: 5583 E: 5584  |||  VV
在  |||  S: 5584 E: 5585  |||  P
高温  |||  S: 5585 E: 5587  |||  NN
下  |||  S: 5587 E: 5588  |||  LC
使用  |||  S: 5588 E: 5590  |||  VV
，  |||  S: 5590 E: 5591  |||  PU
例如  |||  S: 5591 E: 5593  |||  AD
316  |||  S: 5593 E: 5596  |||  CD
℃  |||  S: 5596 E: 5597  |||  M
（  |||  S: 5597 E: 5598  |||  PU
600  |||  S: 5598 E: 5601  |||  CD
°F  |||  S: 5601 E: 5603  |||  M
）  |||  S: 5603 E: 5604  |||  PU
，  |||  S: 5604 E: 5605  |||  PU
428  |||  S: 5605 E: 5608  |||  CD
℃  |||  S: 5608 E: 5609  |||  M
（  |||  S: 5609 E: 5610  |||  PU
900  |||  S: 5610 E: 5613  |||  CD
°F  |||  S: 5613 E: 5615  |||  M
）  |||  S: 5615 E: 5616  |||  PU
，  |||  S: 5616 E: 5617  |||  PU
所以  |||  S: 5617 E: 5619  |||  AD
该  |||  S: 5619 E: 5620  |||  DT
申请  |||  S: 5620 E: 5622  |||  NN
的  |||  S: 5622 E: 5623  |||  DEG
公开  |||  S: 5623 E: 5625  |||  JJ
内容  |||  S: 5625 E: 5627  |||  NN
在  |||  S: 5627 E: 5628  |||  P
此  |||  S: 5628 E: 5629  |||  PN
列入  |||  S: 5629 E: 5631  |||  VV
本  |||  S: 5631 E: 5632  |||  DT
发明  |||  S: 5632 E: 5634  |||  NN
作为  |||  S: 5634 E: 5636  |||  P
参考  |||  S: 5636 E: 5638  |||  VV
。  |||  S: 5638 E: 5639  |||  PU
虽然  |||  S: 5639 E: 5641  |||  CS
较  |||  S: 5641 E: 5642  |||  AD
好  |||  S: 5642 E: 5643  |||  VA
的  |||  S: 5643 E: 5644  |||  DEC
材料  |||  S: 5644 E: 5646  |||  NN
是  |||  S: 5646 E: 5647  |||  VC
硅  |||  S: 5647 E: 5648  |||  JJ
橡胶  |||  S: 5648 E: 5650  |||  NN
，  |||  S: 5650 E: 5651  |||  PU
但  |||  S: 5651 E: 5652  |||  AD
其它  |||  S: 5652 E: 5654  |||  DT
具有  |||  S: 5654 E: 5656  |||  VV
要求  |||  S: 5656 E: 5658  |||  NN
的  |||  S: 5658 E: 5659  |||  DEC
特性  |||  S: 5659 E: 5661  |||  NN
的  |||  S: 5661 E: 5662  |||  DEC
聚合物  |||  S: 5662 E: 5665  |||  NN
材料  |||  S: 5665 E: 5667  |||  NN
也  |||  S: 5667 E: 5668  |||  AD
可  |||  S: 5668 E: 5669  |||  VV
被  |||  S: 5669 E: 5670  |||  SB
使用  |||  S: 5670 E: 5672  |||  VV
。  |||  S: 5672 E: 5673  |||  PU
大多数  |||  S: 5673 E: 5676  |||  AD
硅  |||  S: 5676 E: 5677  |||  NN
橡胶  |||  S: 5677 E: 5679  |||  NN
长期  |||  S: 5679 E: 5681  |||  NN
使用  |||  S: 5681 E: 5683  |||  VV
时  |||  S: 5683 E: 5684  |||  LC
有  |||  S: 5684 E: 5685  |||  VE
温度  |||  S: 5685 E: 5687  |||  NN
限制  |||  S: 5687 E: 5689  |||  NN
，  |||  S: 5689 E: 5690  |||  PU
例如  |||  S: 5690 E: 5692  |||  AD
通常  |||  S: 5692 E: 5694  |||  AD
可  |||  S: 5694 E: 5695  |||  VV
达  |||  S: 5695 E: 5696  |||  VV
232  |||  S: 5696 E: 5699  |||  CD
℃  |||  S: 5699 E: 5700  |||  M
（  |||  S: 5700 E: 5701  |||  PU
450  |||  S: 5701 E: 5704  |||  CD
°F  |||  S: 5704 E: 5706  |||  M
）  |||  S: 5706 E: 5707  |||  PU
。  |||  S: 5707 E: 5708  |||  PU
然而  |||  S: 5708 E: 5710  |||  AD
，  |||  S: 5710 E: 5711  |||  PU
乙烯基  |||  S: 5711 E: 5714  |||  NN
甲基硅氧烷型  |||  S: 5714 E: 5720  |||  NN
和  |||  S: 5720 E: 5721  |||  CC
硅亚苯基型  |||  S: 5721 E: 5726  |||  NN
硅氧烷  |||  S: 5726 E: 5729  |||  NN
树脂  |||  S: 5729 E: 5731  |||  NN
已经  |||  S: 5731 E: 5733  |||  AD
试验  |||  S: 5733 E: 5735  |||  VV
成  |||  S: 5735 E: 5736  |||  VV
功可  |||  S: 5736 E: 5738  |||  NN
达  |||  S: 5738 E: 5739  |||  VV
482  |||  S: 5739 E: 5742  |||  CD
℃  |||  S: 5742 E: 5743  |||  M
（  |||  S: 5743 E: 5744  |||  PU
900  |||  S: 5744 E: 5747  |||  CD
°F  |||  S: 5747 E: 5749  |||  M
）  |||  S: 5749 E: 5750  |||  PU
。  |||  S: 5750 E: 5751  |||  PU
填料  |||  S: 5751 E: 5753  |||  NN
和  |||  S: 5753 E: 5754  |||  CC
其它  |||  S: 5754 E: 5756  |||  DT
的  |||  S: 5756 E: 5757  |||  DEG
掺加物  |||  S: 5757 E: 5760  |||  NN
（  |||  S: 5760 E: 5761  |||  PU
例如  |||  S: 5761 E: 5763  |||  AD
下文  |||  S: 5763 E: 5765  |||  NN
所  |||  S: 5765 E: 5766  |||  MSP
述  |||  S: 5766 E: 5767  |||  VV
的  |||  S: 5767 E: 5768  |||  DEC
金属  |||  S: 5768 E: 5770  |||  NN
颗粒  |||  S: 5770 E: 5772  |||  NN
）  |||  S: 5772 E: 5773  |||  PU
可  |||  S: 5773 E: 5774  |||  VV
与  |||  S: 5774 E: 5775  |||  P
介质  |||  S: 5775 E: 5777  |||  NN
混合物  |||  S: 5777 E: 5780  |||  NN
在  |||  S: 5780 E: 5781  |||  P
一起  |||  S: 5781 E: 5783  |||  NN
或  |||  S: 5783 E: 5784  |||  CC
被  |||  S: 5784 E: 5785  |||  SB
包含  |||  S: 5785 E: 5787  |||  VV
在  |||  S: 5787 E: 5788  |||  P
介质  |||  S: 5788 E: 5790  |||  NN
中  |||  S: 5790 E: 5791  |||  LC
，  |||  S: 5791 E: 5792  |||  PU
只要  |||  S: 5792 E: 5794  |||  CS
能  |||  S: 5794 E: 5795  |||  VV
使  |||  S: 5795 E: 5796  |||  VV
介质  |||  S: 5796 E: 5798  |||  NN
保持  |||  S: 5798 E: 5800  |||  VV
基本  |||  S: 5800 E: 5802  |||  JJ
的  |||  S: 5802 E: 5803  |||  DEG
行为  |||  S: 5803 E: 5805  |||  JJ
特性  |||  S: 5805 E: 5807  |||  NN
。  |||  S: 5807 E: 5808  |||  PU
导热性  |||  S: 5808 E: 5811  |||  JJ
颗粒  |||  S: 5811 E: 5813  |||  NN
添加剂  |||  S: 5813 E: 5816  |||  NN
被  |||  S: 5816 E: 5817  |||  SB
用来  |||  S: 5817 E: 5819  |||  VV
增加  |||  S: 5819 E: 5821  |||  VV
聚合物  |||  S: 5821 E: 5824  |||  NN
本身  |||  S: 5824 E: 5826  |||  PN
内部  |||  S: 5826 E: 5828  |||  NN
的  |||  S: 5828 E: 5829  |||  DEC
传热性  |||  S: 5829 E: 5832  |||  NN
以及  |||  S: 5832 E: 5834  |||  CC
向  |||  S: 5834 E: 5835  |||  P
待  |||  S: 5835 E: 5836  |||  VV
模塑  |||  S: 5836 E: 5838  |||  NN
制品  |||  S: 5838 E: 5840  |||  NN
的  |||  S: 5840 E: 5841  |||  DEG
传热性  |||  S: 5841 E: 5844  |||  NN
，  |||  S: 5844 E: 5845  |||  PU
但  |||  S: 5845 E: 5846  |||  CC
不  |||  S: 5846 E: 5847  |||  AD
会  |||  S: 5847 E: 5848  |||  VV
损伤  |||  S: 5848 E: 5850  |||  VV
下  |||  S: 5850 E: 5851  |||  DT
文  |||  S: 5851 E: 5852  |||  NN
将  |||  S: 5852 E: 5853  |||  BA
叙述  |||  S: 5853 E: 5855  |||  JJ
的  |||  S: 5855 E: 5856  |||  DEG
聚合物  |||  S: 5856 E: 5859  |||  NN
性质  |||  S: 5859 E: 5861  |||  PU
，  |||  S: 5861 E: 5862  |||  PU
它们  |||  S: 5862 E: 5864  |||  PN
是  |||  S: 5864 E: 5865  |||  VC
由  |||  S: 5865 E: 5866  |||  P
金属  |||  S: 5866 E: 5868  |||  NN
颗粒  |||  S: 5868 E: 5870  |||  NN
组成  |||  S: 5870 E: 5872  |||  VV
的  |||  S: 5872 E: 5873  |||  DEC
。  |||  S: 5873 E: 5874  |||  PU
所  |||  S: 5874 E: 5875  |||  MSP
谓  |||  S: 5875 E: 5876  |||  VV
“  |||  S: 5876 E: 5877  |||  PU
导热性  |||  S: 5877 E: 5880  |||  NN
”  |||  S: 5880 E: 5881  |||  PU
是  |||  S: 5881 E: 5882  |||  VC
指  |||  S: 5882 E: 5883  |||  VV
具有  |||  S: 5883 E: 5885  |||  VV
金属  |||  S: 5885 E: 5887  |||  NN
和  |||  S: 5887 E: 5888  |||  CC
合金  |||  S: 5888 E: 5890  |||  NN
的  |||  S: 5890 E: 5891  |||  DEC
典型  |||  S: 5891 E: 5893  |||  JJ
导热性  |||  S: 5893 E: 5896  |||  NN
，  |||  S: 5896 E: 5897  |||  PU
它  |||  S: 5897 E: 5898  |||  PN
比  |||  S: 5898 E: 5899  |||  P
有机  |||  S: 5899 E: 5901  |||  JJ
材料  |||  S: 5901 E: 5903  |||  NN
大  |||  S: 5903 E: 5904  |||  VA
。  |||  S: 5904 E: 5905  |||  PU
所谓  |||  S: 5905 E: 5907  |||  VA
“  |||  S: 5907 E: 5908  |||  PU
颗粒  |||  S: 5908 E: 5910  |||  NN
”  |||  S: 5910 E: 5911  |||  PU
是  |||  S: 5911 E: 5912  |||  VC
指  |||  S: 5912 E: 5913  |||  VV
尺寸  |||  S: 5913 E: 5915  |||  NN
小于  |||  S: 5915 E: 5917  |||  VV
0.5  |||  S: 5917 E: 5920  |||  CD
mm  |||  S: 5920 E: 5922  |||  M
的  |||  S: 5922 E: 5923  |||  DEC
颗粒  |||  S: 5923 E: 5925  |||  NN
。  |||  S: 5925 E: 5926  |||  PU
这样  |||  S: 5926 E: 5928  |||  PN
的  |||  S: 5928 E: 5929  |||  DEG
颗粒  |||  S: 5929 E: 5931  |||  NN
尺寸  |||  S: 5931 E: 5933  |||  NN
可  |||  S: 5933 E: 5934  |||  VV
使得  |||  S: 5934 E: 5936  |||  VV
金属  |||  S: 5936 E: 5938  |||  NN
能  |||  S: 5938 E: 5939  |||  VV
与  |||  S: 5939 E: 5940  |||  P
聚合物  |||  S: 5940 E: 5943  |||  NN
混合  |||  S: 5943 E: 5945  |||  VV
得到  |||  S: 5945 E: 5947  |||  VV
均匀  |||  S: 5947 E: 5949  |||  VA
混合物  |||  S: 5949 E: 5952  |||  NN
。  |||  S: 5952 E: 5953  |||  PU
由于  |||  S: 5953 E: 5955  |||  P
传热  |||  S: 5955 E: 5957  |||  VV
金属  |||  S: 5957 E: 5959  |||  NN
分散  |||  S: 5959 E: 5961  |||  VV
在  |||  S: 5961 E: 5962  |||  P
整  |||  S: 5962 E: 5963  |||  DT
个  |||  S: 5963 E: 5964  |||  M
混合物  |||  S: 5964 E: 5967  |||  NN
中  |||  S: 5967 E: 5968  |||  LC
，  |||  S: 5968 E: 5969  |||  PU
这  |||  S: 5969 E: 5970  |||  PN
有利于  |||  S: 5970 E: 5973  |||  VV
提高  |||  S: 5973 E: 5975  |||  VV
其  |||  S: 5975 E: 5976  |||  PN
传热性  |||  S: 5976 E: 5979  |||  NN
。  |||  S: 5979 E: 5980  |||  PU
金属  |||  S: 5980 E: 5982  |||  NN
颗粒  |||  S: 5982 E: 5984  |||  NN
尺寸  |||  S: 5984 E: 5986  |||  NN
为  |||  S: 5986 E: 5987  |||  VC
0  |||  S: 5987 E: 5988  |||  CD
.  |||  S: 5988 E: 5989  |||  PU
005  |||  S: 5989 E: 5992  |||  CD
～  |||  S: 5992 E: 5993  |||  PU
0.5  |||  S: 5993 E: 5996  |||  CD
mm  |||  S: 5996 E: 5998  |||  NN
则  |||  S: 5998 E: 5999  |||  AD
最  |||  S: 5999 E: 6000  |||  AD
佳  |||  S: 6000 E: 6001  |||  VA
。  |||  S: 6001 E: 6002  |||  PU
如果  |||  S: 6002 E: 6004  |||  CS
颗粒  |||  S: 6004 E: 6006  |||  NN
尺寸  |||  S: 6006 E: 6008  |||  NN
小于  |||  S: 6008 E: 6010  |||  VV
0  |||  S: 6010 E: 6011  |||  CD
.  |||  S: 6011 E: 6012  |||  PU
005  |||  S: 6012 E: 6015  |||  CD
mm  |||  S: 6015 E: 6017  |||  M
